bib_id,title,note_num,note,type,source
17517420,"From Martin Martin, late of Felpham, Sussex, carpenter, who emigrated with the Petworth party to Upper Canada, and sailed from Portsmouth in the ship Lord Melville, April 11th, 1832, taking with him his wife and six children.",2,"This document is part of CO 384/30 from The National Archives, UK.",,daniel
17517420,"From Martin Martin, late of Felpham, Sussex, carpenter, who emigrated with the Petworth party to Upper Canada, and sailed from Portsmouth in the ship Lord Melville, April 11th, 1832, taking with him his wife and six children.",3,Title from publisher's website.,,daniel
17517421,"Rates of passage money, by the Minerva, Captain Robertson, 500 tons burden to sail on or about the 28th March 1832 from Leith, to Van Diemen's Land and Sydney, New South Wales.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517421,"Rates of passage money, by the Minerva, Captain Robertson, 500 tons burden to sail on or about the 28th March 1832 from Leith, to Van Diemen's Land and Sydney, New South Wales.",2,"This document is part of CO 384/30 from The National Archives, UK.",,daniel
17517421,"Rates of passage money, by the Minerva, Captain Robertson, 500 tons burden to sail on or about the 28th March 1832 from Leith, to Van Diemen's Land and Sydney, New South Wales.",3,Title from publisher's website.,,daniel
17517422,The committee for promoting the emigration of females to the Australian colonies.,1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517422,The committee for promoting the emigration of females to the Australian colonies.,2,"This document is part of CO 384/35 from The National Archives, UK.",,daniel
17517422,The committee for promoting the emigration of females to the Australian colonies.,3,Title from publisher's website.,,daniel
17517423,"Scheme of vitualling for female emigrants, on the voyage from London to Australia, directed by the emigration committee to be daily issued.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517423,"Scheme of vitualling for female emigrants, on the voyage from London to Australia, directed by the emigration committee to be daily issued.",2,"This document is part of CO 384/35 from The National Archives, UK.",,daniel
17517423,"Scheme of vitualling for female emigrants, on the voyage from London to Australia, directed by the emigration committee to be daily issued.",3,Title from publisher's website.,,daniel
17517424,"Extract from the Courier and New York enquirer on the twenty-third congress, first session.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517424,"Extract from the Courier and New York enquirer on the twenty-third congress, first session.",2,"This document is part of CO 384/35 from The National Archives, UK.",,daniel
17517424,"Extract from the Courier and New York enquirer on the twenty-third congress, first session.",3,Title from publisher's website.,,daniel
17517425,For the information of emigrants : office of His Majesty's chief agent for the superintendence of emigrants in Upper and Lower Canada.,1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517425,For the information of emigrants : office of His Majesty's chief agent for the superintendence of emigrants in Upper and Lower Canada.,2,"This document is part of CO 384/35 from The National Archives, UK.",,daniel
17517425,For the information of emigrants : office of His Majesty's chief agent for the superintendence of emigrants in Upper and Lower Canada.,3,Title from publisher's website.,,daniel
17517426,"Official information for emigrants, arriving at New York, and who are desirous of settling in the Canadas : also, extracts from the instructions for emigrants arriving at Quebec / as issued by A. C. Buchanan.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517426,"Official information for emigrants, arriving at New York, and who are desirous of settling in the Canadas : also, extracts from the instructions for emigrants arriving at Quebec / as issued by A. C. Buchanan.",2,"This document is part of CO 384/35 from The National Archives, UK.",,daniel
17517426,"Official information for emigrants, arriving at New York, and who are desirous of settling in the Canadas : also, extracts from the instructions for emigrants arriving at Quebec / as issued by A. C. Buchanan.",3,Title from publisher's website.,,daniel
